pollutant,income_group,2000-2005,2005-2010,2010-2015,2015-2020,2020-2023
CO,low,0.588,0.466,0.321,0.24,0.269
CO,mid,0.715,0.455,0.367,0.328,0.321
CO,high,0.654,0.478,0.374,0.408,0.374
NO2,low,14.276,11.996,9.883,8.802,8.475
NO2,mid,23.771,18.372,14.334,12.539,11.463
NO2,high,17.431,14.432,11.655,10.736,9.168
O3,low,0.037,0.035,0.035,0.035,0.033
O3,mid,0.029,0.03,0.031,0.033,0.033
O3,high,0.025,0.027,0.027,0.029,0.029
PM2.5,low,18.89,18.206,12.143,10.554,11.381
PM2.5,mid,19.23,15.14,11.233,10.887,11.025
PM2.5,high,14.873,11.801,8.754,9.042,9.059
SO2,low,0.719,0.524,0.484,0.382,0.341
SO2,mid,1.945,1.467,0.573,0.547,0.336
SO2,high,2.112,1.68,0.518,0.304,0.244
